Maladies,Symptomes,Traitement,Examens,Symptomes_lem_token,Symptomes_stem_token
endométriose,"douleurs pelviennes intenses,douleurs pendant les règles,douleurs pendant les rapports sexuels,douleurs lombaires,douleurs abdominales,fatigue chronique,saignements menstruels abondants,saignements menstruels irréguliers,problèmes de fertilité,troubles gastro-intestinaux pendant les règles,douleurs pendant la défécation,douleurs pendant la miction,douleurs pendant l'ovulation,nausées pendant les règles,vomissements pendant les règles,douleurs pendant l'exercice physique,problèmes urinaires pendant les règles","médicaments anti-inflammatoires,chirurgie,traitement hormonal","imagerie médicale (échographie pelvienne),laparoscopie",maux pelvienne intense règle rapport sexuel lombaire ventre fatigue chronique saignement menstruel abondant irrégulier problème fertilité trouble gastro intestinaux défécation miction ovulation nausée vomissement exercice physique urinaire,maux pelvienn inten regl rapport sexuel lombair ventre fatigu chroniqu saigne menstruel abond irreguli problem fertilit troubl gastro intestinaux defec miction ovul nause vomis exercic physiqu urinair
anémie ferriprive,"fatigue intense,faiblesse générale,palpitations cardiaques,essoufflement,peau pâle,maux de tête fréquents,étourdissements,irritabilité,difficultés de concentration,ongles cassants,cheveux fragiles,sensibilité au froid,mains et pieds froids,langue gonflée ou lisse,pica","suppléments de fer,ajustement du régime alimentaire,traitement de la cause sous-jacente","analyse de sang (taux de fer),numération sanguine complète,ferritine",fatigue intense faiblesse générale palpitation cardiaque essouffle peau pâle maux tête fréquent étourdissement irritabilité difficulté concentration ongle cassant cheveux fragile sensibilité froid main pied froid langue gonflée lisse pica,fatigu inten faibles general palpit cardiaqu essouffl peau pale maux tete frequent etourdis irritabilit difficult concentr ongl cassant cheveux fragil sensibilit froid main pie langu gonfle lis pica
trouble bipolaire,"variations extrêmes d'humeur,irritabilité ,insomnie,parler rapidement et de manière ininterrompue,pensées grandioses ou idées délirantes,idées délirantes,augmentation des activités sexuelles,prise de décisions impulsives,périodes de dépression intense,perte d'énergie,sentiments de désespoir,changements d'appétit,changements de poidsproblèmes de concentration,pensées suicidaires","médicaments stabilisateurs de l'humeur,thérapie cognitivo-comportementale,thérapie électroconvulsive","évaluation psychiatrique,entretiens cliniques",variation extrême humeur irritabilité insomnie parler rapide manière ininterrompue pensée grandiose idée délirante augmentation activité sexuelle prise décision impulsive période dépression intense perte énergie senti désespoir changement appétit poidsproblème concentration suicidaire,variat extrem humeur irritabilit insomni parler rapid manier ininterrompu pense grandio ide delirant aug activit sexuel prise deci impul period depres inten pert energi senti desespoir change appetit poidsproblem concentr suicidair
maladie de lyme,"éruption cutanée en forme de cible (érythème migrant),fatigue,fièvre et frissons,maux de tête,douleurs musculaires et articulaires,gonflement des ganglions lymphatiques,raideur du cou,troubles cognitifs,problèmes de sommeil,irritabilité,sensibilité à la lumière et au bruit,paralysie faciale,problèmes cardiaques","antibiotiques,médicaments anti-inflammatoires,repos","test sanguin (détection d'anticorps),analyse de liquide articulaire,imagerie médicale",éruption cutanée forme cible érythème migrant fatigue fièvre frisson maux tête maux musculaire articulaire gonfle ganglion lymphatique raideur cou trouble cognitif problème sommeil irritabilité sensibilité lumière bruit paralysie faciale cardiaque,erupt peau form cibl erythem migrant fatigu fievr frisson maux tete maux musculair articulair gonfle ganglion lymphatiqu raideur cou troubl cognitif problem sommeil irritabilit sensibilit lumier bruit paralysi facial cardiaqu
schizophrénie,"hallucinations auditives,hallucinations olfactives,hallucinations visuelles,idées délirantes,troubles de la pensée,discours désorganisé,émoussement affectif,retrait social,isolement social,perturbation de la mémoire,difficultés de concentration,paranoïa,problèmes de sommeil","antipsychotiques,thérapie psychosociale,hospitalisation en cas de crise","évaluation psychiatrique,entretiens cliniques,tests psychologiques",hallucination auditive olfactive visuelle idée délirante trouble pensée discour désorganisé émousse affectif retrait social isole perturbation mémoire difficulté concentration paranoïa problème sommeil,hallucin audit olfact visuel ide delirant troubl pense discour desorgani emous affectif retrait social isol perturb memoir difficult concentr paranoia problem sommeil
cancer du poumon,"toux persistante,essoufflement,douleur thoracique,perte de poids inexpliquée,fatigue,infections respiratoires fréquentes,hoquet persistant,sang dans les expectorations,changements de voix,difficultés à avaler,gonflement des ganglions lymphatiques","chirurgie,chimiothérapie,radiothérapie","imagerie médicale (scanner, irm),biopsie,analyse de crachat",toux persistante essouffle maux thoracique perte poid inexpliquée fatigue infection respiratoire fréquente hoquet persistant sang expectoration changement voix difficulté avaler gonfle ganglion lymphatique,toux persistant essouffl maux thoraciqu pert poid inexplique fatigu infect respiratoir frequent hoquet persist sang expector change voix difficult aval gonfle ganglion lymphatiqu
lgv (lymphogranulomatose vénérienne),"ulcères génitaux ou anaux,douleur en urinant,écoulement génital ou anal,gonflement des ganglions lymphatiques inguinaux,douleur abdominale basse,saignement rectal,diarrhée,fièvre,perte de poids,fatigue","antibiotiques,éviction sexuelle pendant le traitement,suivi médical régulier","prélèvement de liquide des ulcères,tests sanguins,imagerie médicale",ulcère génitaux anaux maux urinant écoule génital anal gonfle ganglion lymphatique inguinaux ventre basse saigne rectal diarrhée fièvre perte poid fatigue,ulcer genitaux anaux maux urin ecoul genit anal gonfle ganglion lymphatiqu inguinaux ventre bas saigne rectal diarrhe fievr pert poid fatigu
ureaplasma génital,"douleur ou brûlure pendant la miction,écoulement anormal du vagin ou de l'urètre,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements inhabituels,inflammation ou irritation du col de l'utérus,douleur ou inflammation articulaire,fièvre,fatigue,sensibilité abdominale","antibiotiques,éviction sexuelle pendant le traitement,traitement du partenaire sexuel","prélèvement génital,tests sanguins",maux brûlure miction écoule anormaux vagin urètre pelvienne rapport sexuel irritation génitale saignement inhabituel inflammation col utéru articulaire fièvre fatigue sensibilité ventre e,maux brulur miction ecoul anorm vagin uretr pelvienn rapport sexuel irrit genital saigne inhabituel inflamm col uteru articulair fievr fatigu sensibilit ventre
pneumocystose,"toux sèche persistante,essoufflement,fièvre,perte de poids inexpliquée,fatigue extrême,douleurs thoraciques,sueurs nocturnes,difficultés respiratoires,respiration rapide,taux d'oxygène bas dans le sang","antibiotiques,traitement antiparasitaire,oxygénothérapie","examen microscopique des sécrétions respiratoires,analyse sanguine,radiographie thoracique",toux sèche persistante essouffle fièvre perte poid inexpliquée fatigue extrême maux thoracique sueur nocturne difficulté respiratoire respiration rapide taux oxygène ba sang,toux sech persistant essouffl fievr pert poid inexplique fatigu extrem maux thoraciqu sueur nocturn difficult respiratoir respir rapid taux oxygen ba sang
toxoplasmose,"gonflement des ganglions lymphatiques,fièvre,maillons,fatigue,maux de tête,douleurs musculaires,sensation de malaise général,inflammation de la gorge,éruptions cutanées,douleurs abdominales","antibiotiques,repos,traitement symptomatique","test sanguin (détection d'anticorps),biopsie en cas de symptômes graves",gonfle ganglion lymphatique fièvre maillon fatigue maux tête maux musculaire sensation mauxaise général inflammation gorge éruption cutanée ventre e,gonfle ganglion lymphatiqu fievr maillon fatigu maux tete maux musculair sensat mauxai gener inflamm gorg erupt peau ventre
cryptosporidiose,"diarrhée aqueuse,douleurs abdominales,fièvre,nausées,vomissements,perte de poids,fatigue,douleurs musculaires,maillons,déshydratation","réhydratation,antiparasitaires,traitement symptomatique","analyse de selles,tests sanguins,endoscopie en cas de symptômes graves",diarrhée aqueuse maux ventre fièvre nausée vomissement perte poid fatigue musculaire maillon déshydratation,diarrhe aqueu maux ventre fievr nause vomis pert poid fatigu musculair maillon deshydrat
leishmaniose,"lésions cutanées (ulcères) sur la peau,fièvre,fatigue,perte de poids,gonflement des ganglions lymphatiques,anémie,douleurs musculaires,douleurs articulaires,sensations de brûlure,sensations de picotement","antiparasitaires,antibiotiques,soins de la plaie","analyse de tissu prélevé de l'ulcère,tests sanguins,imagerie médicale",lésion cutanée ulcère peau fièvre fatigue perte poid gonfle ganglion lymphatique anémie maux musculaire articulaire sensation brûlure picote,lesion peau ulcer fievr fatigu pert poid gonfle ganglion lymphatiqu anemi maux musculair articulair sensat brulur picot
