Maladies,Symptomes,Traitement,Examens
endométriose,"douleurs pelviennes intenses,douleurs pendant les règles,douleurs pendant les rapports sexuels,douleurs lombaires,douleurs abdominales,fatigue chronique,saignements menstruels abondants,saignements menstruels irréguliers,problèmes de fertilité,troubles gastro-intestinaux pendant les règles,douleurs pendant la défécation,douleurs pendant la miction,douleurs pendant l'ovulation,nausées pendant les règles,vomissements pendant les règles,douleurs pendant l'exercice physique,problèmes urinaires pendant les règles","médicaments anti-inflammatoires,chirurgie,traitement hormonal","imagerie médicale (échographie pelvienne),laparoscopie"
anémie ferriprive,"fatigue intense,faiblesse générale,palpitations cardiaques,essoufflement,peau pâle,maux de tête fréquents,étourdissements,irritabilité,difficultés de concentration,ongles cassants,cheveux fragiles,sensibilité au froid,mains et pieds froids,langue gonflée ou lisse,pica","suppléments de fer,ajustement du régime alimentaire,traitement de la cause sous-jacente","analyse de sang (taux de fer),numération sanguine complète,ferritine"
trouble bipolaire,"variations extrêmes d'humeur,irritabilité ,insomnie,parler rapidement et de manière ininterrompue,pensées grandioses ou idées délirantes,idées délirantes,augmentation des activités sexuelles,prise de décisions impulsives,périodes de dépression intense,perte d'énergie,sentiments de désespoir,changements d'appétit,changements de poidsproblèmes de concentration,pensées suicidaires","médicaments stabilisateurs de l'humeur,thérapie cognitivo-comportementale,thérapie électroconvulsive","évaluation psychiatrique,entretiens cliniques"
maladie de lyme,"éruption cutanée en forme de cible (érythème migrant),fatigue,fièvre et frissons,maux de tête,douleurs musculaires et articulaires,gonflement des ganglions lymphatiques,raideur du cou,troubles cognitifs,problèmes de sommeil,irritabilité,sensibilité à la lumière et au bruit,paralysie faciale,problèmes cardiaques","antibiotiques,médicaments anti-inflammatoires,repos","test sanguin (détection d'anticorps),analyse de liquide articulaire,imagerie médicale"
schizophrénie,"hallucinations auditives,hallucinations olfactives,hallucinations visuelles,idées délirantes,troubles de la pensée,discours désorganisé,émoussement affectif,retrait social,isolement social,perturbation de la mémoire,difficultés de concentration,paranoïa,problèmes de sommeil","antipsychotiques,thérapie psychosociale,hospitalisation en cas de crise","évaluation psychiatrique,entretiens cliniques,tests psychologiques"
cancer du poumon,"toux persistante,essoufflement,douleur thoracique,perte de poids inexpliquée,fatigue,infections respiratoires fréquentes,hoquet persistant,sang dans les expectorations,changements de voix,difficultés à avaler,gonflement des ganglions lymphatiques","chirurgie,chimiothérapie,radiothérapie","imagerie médicale (scanner, irm),biopsie,analyse de crachat"
lgv (lymphogranulomatose vénérienne),"ulcères génitaux ou anaux,douleur en urinant,écoulement génital ou anal,gonflement des ganglions lymphatiques inguinaux,douleur abdominale basse,saignement rectal,diarrhée,fièvre,perte de poids,fatigue","antibiotiques,éviction sexuelle pendant le traitement,suivi médical régulier","prélèvement de liquide des ulcères,tests sanguins,imagerie médicale"
ureaplasma génital,"douleur ou brûlure pendant la miction,écoulement anormal du vagin ou de l'urètre,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements inhabituels,inflammation ou irritation du col de l'utérus,douleur ou inflammation articulaire,fièvre,fatigue,sensibilité abdominale","antibiotiques,éviction sexuelle pendant le traitement,traitement du partenaire sexuel","prélèvement génital,tests sanguins"
pneumocystose,"toux sèche persistante,essoufflement,fièvre,perte de poids inexpliquée,fatigue extrême,douleurs thoraciques,sueurs nocturnes,difficultés respiratoires,respiration rapide,taux d'oxygène bas dans le sang","antibiotiques,traitement antiparasitaire,oxygénothérapie","examen microscopique des sécrétions respiratoires,analyse sanguine,radiographie thoracique"
toxoplasmose,"gonflement des ganglions lymphatiques,fièvre,maillons,fatigue,maux de tête,douleurs musculaires,sensation de malaise général,inflammation de la gorge,éruptions cutanées,douleurs abdominales","antibiotiques,repos,traitement symptomatique","test sanguin (détection d'anticorps),biopsie en cas de symptômes graves"
