 Maladies,Symptomes,Traitement,Examens
Endométriose,"Douleurs pelviennes intenses,Douleurs pendant les règles,Douleurs pendant les rapports sexuels,Douleurs lombaires,Douleurs abdominales,Fatigue chronique,Saignements menstruels abondants,Saignements menstruels irréguliers,Problèmes de fertilité,Troubles gastro-intestinaux pendant les règles,Douleurs pendant la défécation,Douleurs pendant la miction,Douleurs pendant l'ovulation,Nausées pendant les règles,vomissements pendant les règles,Douleurs pendant l'exercice physique,Problèmes urinaires pendant les règles","médicaments anti-inflammatoires,chirurgie,traitement hormonal","imagerie médicale (échographie pelvienne),laparoscopie"
Anémie ferriprive,"Fatigue intense,Faiblesse générale,Palpitations cardiaques,Essoufflement,Peau pâle,Maux de tête fréquents,Étourdissements,Irritabilité,Difficultés de concentration,Ongles cassants,Cheveux fragiles,Sensibilité au froid,Mains et pieds froids,Langue gonflée ou lisse,Pica","suppléments de fer,ajustement du régime alimentaire,traitement de la cause sous-jacente","analyse de sang (taux de fer),numération sanguine complète,ferritine"
Trouble bipolaire,"Variations extrêmes d'humeur,Irritabilité ,insomnie,Parler rapidement et de manière ininterrompue,Pensées grandioses ou idées délirantes,idées délirantes,Augmentation des activités sexuelles,Prise de décisions impulsives,Périodes de dépression intense,Perte d'énergie,Sentiments de désespoir,Changements d'appétit,Changements de poidsProblèmes de concentration,Pensées suicidaires","médicaments stabilisateurs de l'humeur,thérapie cognitivo-comportementale,thérapie électroconvulsive","évaluation psychiatrique,entretiens cliniques"
Maladie de Lyme,"Éruption cutanée en forme de cible (érythème migrant),Fatigue,Fièvre et frissons,Maux de tête,Douleurs musculaires et articulaires,Gonflement des ganglions lymphatiques,Raideur du cou,Troubles cognitifs,Problèmes de sommeil,Irritabilité,Sensibilité à la lumière et au bruit,Paralysie faciale,Problèmes cardiaques","antibiotiques,médicaments anti-inflammatoires,repos","test sanguin (détection d'anticorps),analyse de liquide articulaire,imagerie médicale"
Schizophrénie,"Hallucinations auditives,Hallucinations olfactives,Hallucinations visuelles,Idées délirantes,Troubles de la pensée,Discours désorganisé,Émoussement affectif,Retrait social,Isolement social,Perturbation de la mémoire,Difficultés de concentration,Paranoïa,Problèmes de sommeil","antipsychotiques,thérapie psychosociale,hospitalisation en cas de crise","évaluation psychiatrique,entretiens cliniques,tests psychologiques"
Cancer du poumon,"Toux persistante,Essoufflement,Douleur thoracique,Perte de poids inexpliquée,Fatigue,Infections respiratoires fréquentes,Hoquet persistant,Sang dans les expectorations,Changements de voix,Difficultés à avaler,Gonflement des ganglions lymphatiques","chirurgie,chimiothérapie,radiothérapie","imagerie médicale (scanner, IRM),biopsie,analyse de crachat"
LGV (Lymphogranulomatose vénérienne),"Ulcères génitaux ou anaux,Douleur en urinant,Écoulement génital ou anal,Gonflement des ganglions lymphatiques inguinaux,Douleur abdominale basse,Saignement rectal,Diarrhée,Fièvre,Perte de poids,Fatigue","antibiotiques,éviction sexuelle pendant le traitement,suivi médical régulier","prélèvement de liquide des ulcères,tests sanguins,imagerie médicale"
Ureaplasma génital,"Douleur ou brûlure pendant la miction,Écoulement anormal du vagin ou de l'urètre,Douleur pelvienne,Douleur pendant les rapports sexuels,Irritation génitale,Saignements inhabituels,Inflammation ou irritation du col de l'utérus,Douleur ou inflammation articulaire,Fièvre,Fatigue,Sensibilité abdominale","antibiotiques,éviction sexuelle pendant le traitement,traitement du partenaire sexuel","prélèvement génital,tests sanguins"
Pneumocystose,"Toux sèche persistante,Essoufflement,Fièvre,Perte de poids inexpliquée,Fatigue extrême,Douleurs thoraciques,Sueurs nocturnes,Difficultés respiratoires,Respiration rapide,Taux d'oxygène bas dans le sang","antibiotiques,traitement antiparasitaire,oxygénothérapie","examen microscopique des sécrétions respiratoires,analyse sanguine,radiographie thoracique"
Toxoplasmose,"Gonflement des ganglions lymphatiques,Fièvre,Maillons,Fatigue,Maux de tête,Douleurs musculaires,Sensation de malaise général,Inflammation de la gorge,Éruptions cutanées,Douleurs abdominales","antibiotiques,repos,traitement symptomatique","test sanguin (détection d'anticorps),biopsie en cas de symptômes graves"
