Maladies,Symptomes,Traitement,Examens,Symptomes_lem_token,Symptomes_stem_token
endométriose,"douleurs pelviennes intenses,douleurs pendant les règles,douleurs pendant les rapports sexuels,douleurs lombaires,douleurs abdominales,fatigue chronique,saignements menstruels abondants,saignements menstruels irréguliers,problèmes de fertilité,troubles gastro-intestinaux pendant les règles,douleurs pendant la défécation,douleurs pendant la miction,douleurs pendant l'ovulation,nausées pendant les règles,vomissements pendant les règles,douleurs pendant l'exercice physique,problèmes urinaires pendant les règles","médicaments anti-inflammatoires,chirurgie,traitement hormonal","imagerie médicale (échographie pelvienne),laparoscopie",irrégulier fertilité sexuel miction problème abondant ventre pelvienne gastro défécation intestinaux chronique exercice règle rapport menstruel trouble physique vomissement fatigue ovulation saignement intense nausée urinaire maux lombaire,regl pelvienn inten problem physiqu menstruel sexuel ovul miction fatigu irreguli fertilit abond ventre vomis maux defec troubl gastro intestinaux saigne rapport urinair chroniqu nause exercic lombair
anémie ferriprive,"fatigue intense,faiblesse générale,palpitations cardiaques,essoufflement,peau pâle,maux de tête fréquents,étourdissements,irritabilité,difficultés de concentration,ongles cassants,cheveux fragiles,sensibilité au froid,mains et pieds froids,langue gonflée ou lisse,pica","suppléments de fer,ajustement du régime alimentaire,traitement de la cause sous-jacente","analyse de sang (taux de fer),numération sanguine complète,ferritine",intense cheveux lisse tête main peau sensibilité pica ongle maux froid cassant générale fréquent concentration gonflée essouffle difficulté fragile pâle fatigue étourdissement cardiaque langue irritabilité froid pied palpitation faiblesse,palpit difficult cheveux main inten peau pica essouffl cardiaqu maux ongl fatigu etourdis froid frequent pale faibles pie tete gonfle irritabilit cassant sensibilit general concentr fragil lis langu
trouble bipolaire,"variations extrêmes d'humeur,irritabilité ,insomnie,parler rapidement et de manière ininterrompue,pensées grandioses ou idées délirantes,idées délirantes,augmentation des activités sexuelles,prise de décisions impulsives,périodes de dépression intense,perte d'énergie,sentiments de désespoir,changements d'appétit,changements de poidsproblèmes de concentration,pensées suicidaires","médicaments stabilisateurs de l'humeur,thérapie cognitivo-comportementale,thérapie électroconvulsive","évaluation psychiatrique,entretiens cliniques",intense extrême manière rapide énergie décision ininterrompue perte prise parler changement sexuelle insomnie humeur impulsive délirante idée pensée suicidaire concentration augmentation senti désespoir activité grandiose irritabilité période variation poidsproblème dépression appétit,deci appetit insomni variat inten rapid activit prise sexuel parler manier period pert humeur ininterrompu change extrem poidsproblem ide suicidair impul senti irritabilit pense delirant depres grandio concentr energi desespoir aug
maladie de lyme,"éruption cutanée en forme de cible (érythème migrant),fatigue,fièvre et frissons,maux de tête,douleurs musculaires et articulaires,gonflement des ganglions lymphatiques,raideur du cou,troubles cognitifs,problèmes de sommeil,irritabilité,sensibilité à la lumière et au bruit,paralysie faciale,problèmes cardiaques","antibiotiques,médicaments anti-inflammatoires,repos","test sanguin (détection d'anticorps),analyse de liquide articulaire,imagerie médicale",paralysie sommeil tête cutanée musculaire cou sensibilité éruption maux lumière problème articulaire faciale forme érythème trouble bruit cible migrant fatigue gonfle frisson cardiaque maux irritabilité cognitif raideur ganglion lymphatique fièvre,cibl erythem facial musculair sommeil problem peau cou form lymphatiqu maux cardiaqu fatigu maux troubl paralysi lumier tete bruit irritabilit articulair migrant gonfle erupt frisson sensibilit cognitif raideur ganglion fievr
schizophrénie,"hallucinations auditives,hallucinations olfactives,hallucinations visuelles,idées délirantes,troubles de la pensée,discours désorganisé,émoussement affectif,retrait social,isolement social,perturbation de la mémoire,difficultés de concentration,paranoïa,problèmes de sommeil","antipsychotiques,thérapie psychosociale,hospitalisation en cas de crise","évaluation psychiatrique,entretiens cliniques,tests psychologiques",sommeil pensée discour social émousse désorganisé visuelle problème délirante idée auditive mémoire isole concentration trouble difficulté perturbation affectif olfactive paranoïa hallucination retrait,difficult sommeil problem social memoir visuel troubl emous ide hallucin olfact discour perturb affectif pense paranoia delirant concentr audit desorgani retrait isol
cancer du poumon,"toux persistante,essoufflement,douleur thoracique,perte de poids inexpliquée,fatigue,infections respiratoires fréquentes,hoquet persistant,sang dans les expectorations,changements de voix,difficultés à avaler,gonflement des ganglions lymphatiques","chirurgie,chimiothérapie,radiothérapie","imagerie médicale (scanner, irm),biopsie,analyse de crachat",persistante expectoration fréquente infection hoquet perte poid changement maux inexpliquée sang respiratoire thoracique essouffle difficulté voix fatigue toux persistant avaler gonfle ganglion lymphatique,difficult expector hoquet lymphatiqu persist essouffl pert fatigu maux frequent poid change sang infect inexplique thoraciqu voix toux persistant gonfle aval respiratoir ganglion
lgv (lymphogranulomatose vénérienne),"ulcères génitaux ou anaux,douleur en urinant,écoulement génital ou anal,gonflement des ganglions lymphatiques inguinaux,douleur abdominale basse,saignement rectal,diarrhée,fièvre,perte de poids,fatigue","antibiotiques,éviction sexuelle pendant le traitement,suivi médical régulier","prélèvement de liquide des ulcères,tests sanguins,imagerie médicale",diarrhée perte poid urinant ventre maux anal génital saigne anaux écoule génitaux ulcère rectal fatigue gonfle basse inguinaux ganglion lymphatique fièvre,ulcer urin lymphatiqu genitaux pert fatigu ventre maux anal bas poid genit saigne anaux ecoul diarrhe rectal gonfle inguinaux ganglion fievr
ureaplasma génital,"douleur ou brûlure pendant la miction,écoulement anormal du vagin ou de l'urètre,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements inhabituels,inflammation ou irritation du col de l'utérus,douleur ou inflammation articulaire,fièvre,fatigue,sensibilité abdominale","antibiotiques,éviction sexuelle pendant le traitement,traitement du partenaire sexuel","prélèvement génital,tests sanguins",pelvienne brûlure vagin articulaire sensibilité sexuel urètre miction ventre maux col irritation génitale anormaux inhabituel écoule rapport fatigue saignement utéru fièvre inflammation,vagin pelvienn anorm sexuel miction fatigu inhabituel ventre maux col saigne ecoul rapport genital articulair uretr inflamm sensibilit uteru brulur irrit fievr
pneumocystose,"toux sèche persistante,essoufflement,fièvre,perte de poids inexpliquée,fatigue extrême,douleurs thoraciques,sueurs nocturnes,difficultés respiratoires,respiration rapide,taux d'oxygène bas dans le sang","antibiotiques,traitement antiparasitaire,oxygénothérapie","examen microscopique des sécrétions respiratoires,analyse sanguine,radiographie thoracique",persistante sueur extrême ba respiration perte poid rapide sèche taux inexpliquée sang respiratoire oxygène essouffle difficulté thoracique nocturne fatigue toux maux fièvre,difficult ba rapid essouffl pert fatigu maux poid extrem taux sang inexplique thoraciqu sech respir toux persistant oxygen sueur respiratoir nocturn fievr
toxoplasmose,"gonflement des ganglions lymphatiques,fièvre,maillons,fatigue,maux de tête,douleurs musculaires,sensation de malaise général,inflammation de la gorge,éruptions cutanées,douleurs abdominales","antibiotiques,repos,traitement symptomatique","test sanguin (détection d'anticorps),biopsie en cas de symptômes graves",tête musculaire maillon maux ventre sensation mauxaise éruption gorge fatigue gonfle général maux cutanée lymphatique ganglion fièvre inflammation,maux gonfle fatigu maillon sensat mauxai gener inflamm musculair maux erupt ventre tete fievr gorg peau ganglion lymphatiqu
cryptosporidiose,"diarrhée aqueuse,douleurs abdominales,fièvre,nausées,vomissements,perte de poids,fatigue,douleurs musculaires,maillons,déshydratation","réhydratation,antiparasitaires,traitement symptomatique","analyse de selles,tests sanguins,endoscopie en cas de symptômes graves",poid aqueuse nausée maux ventre diarrhée vomissement musculaire déshydratation maillon fièvre perte fatigue,aqueu pert fatigu maillon deshydrat diarrhe ventre maux vomis musculair poid nause fievr
leishmaniose,"lésions cutanées (ulcères) sur la peau,fièvre,fatigue,perte de poids,gonflement des ganglions lymphatiques,anémie,douleurs musculaires,douleurs articulaires,sensations de brûlure,sensations de picotement","antiparasitaires,antibiotiques,soins de la plaie","analyse de tissu prélevé de l'ulcère,tests sanguins,imagerie médicale",poid lésion gonfle anémie maux picote articulaire brûlure cutanée sensation peau musculaire ganglion lymphatique fièvre ulcère perte fatigue,lesion gonfle fatigu pert articulair ulcer sensat picot musculair maux poid brulur lymphatiqu peau ganglion fievr anemi
lèpre,"lésions cutanées hypopigmentées ou érythémateuses,engourdissement,faiblesse musculaire,déformations des membres,douleurs nerveuses,perte de sourcils ou de cils,perte de la capacité à sentir la chaleur ou le froid,perte de sensation dans les membres","multithérapie antibactérienne,soins de la peau,réadaptation physique","biopsie de la peau,examen des nerfs,tests sanguins",sentir membre déformation engourdisse hypopigmentée perte froid musculaire sensation capacité lésion nerveuse érythémateuse cil chaleur maux sourcil cutanée faiblesse,sentir erythemateu musculair deform peau pert froid maux hypopigmente sourcil faibles capacit sensat cil chaleur lesion engourdis membr nerveu
tuberculose,"toux persistante,expectorations de sang,fatigue,fièvre,perte de poids inexpliquée,sueurs nocturnes,essoufflement,douleurs thoraciques,appétit réduit","antibiotiques (multithérapie),isolement,traitement directement observé (tdo)","radiographie thoracique,test cutané à la tuberculine,analyse de crachats",poid persistante appétit sueur expectoration maux nocturne perte essouffle réduit thoracique fièvre inexpliquée sang fatigue toux,essouffl inexplique persistant fatigu pert sueur thoraciqu appetit maux poid nocturn expector fievr reduit sang toux
sarcoïdose,"gonflement des ganglions lymphatiques,essoufflement,toux persistante,fatigue,douleurs articulaires,éruptions cutanées,fèces sanglantes ou glaireuses,troubles de la vision,douleurs thoraciques","corticoïdes,immunosuppresseurs,traitement symptomatique","radiographie thoracique,tomographie par émission de positrons (tep),biopsie",vision gonfle persistante sanglante maux articulaire cutanée trouble essouffle thoracique lymphatique ganglion glaireuse éruption fatigue fèce toux,essouffl vision gonfle persistant fatigu erupt thoraciqu maux sanglant peau troubl ganglion lymphatiqu articulair fece glaireu toux
amibiase,"diarrhée,douleurs abdominales,crampes abdominales,nausées,vomissements,fatigue,perte de poids,sèlles sanglantes ou glaireuses","antiparasitaires,antibiotiques,réhydratation","analyse de selles,imagerie médicale,tests sanguins",poid sanglante nausée maux ventre glaireuse diarrhée crampe sèlle vomissement perte fatigue,cramp fatigu pert diarrhe ventre maux vomis poid sanglant nause sell glaireu
giardiase,"diarrhée,flatulences,douleurs abdominales,nausées,perte d'appétit,fatigue,perte de poids,ballonnements","antiparasitaires,réhydratation,traitement symptomatique","analyse de selles,tests sanguins,imagerie médicale",poid appétit nausée maux ventre diarrhée flatulence perte fatigue ballonnement,appetit pert fatigu diarrhe ventre maux poid nause ballonn flatul
sida,"fatigue,fièvre,gonflement des ganglions lymphatiques,perte de poids inexpliquée,sueurs nocturnes,maux de tête,douleurs musculaires,maux de gorge,infections opportunistes,diarrhée persistante,toux prolongée,lésions cutanées,méningite,problèmes de mémoire et de concentration",traitement antirétroviral,"test de dépistage du vih,compte de lymphocytes cd4",persistante sueur diarrhée infection tête opportuniste musculaire perte poid maux problème méningite mémoire inexpliquée lésion concentration gorge nocturne fatigue toux gonfle prolongée maux cutanée lymphatique ganglion fièvre,musculair problem peau lymphatiqu maux fatigu pert memoir maux poid opportunist prolonge infect inexplique diarrhe tete gorg toux lesion gonfle persistant sueur meningit nocturn concentr ganglion fievr
syphilis,"chancre indolore (ulcération),éruption cutanée sur la peau, y compris les paumes et les plantes des pieds,ganglions lymphatiques enflés,fatigue,fièvre,maux de tête,douleurs musculaires,perte de poids inexpliquée,saisons de fièvre, sueurs nocturnes et fatigue (stades avancés)","pénicilline,doxycycline","test de la syphilis,examen au microscope",sueur tête cutanée musculaire peau éruption plante perte stade maux poid avancé indolore ulcération inexpliquée paume enflé nocturne fatigue compri maux pied saison ganglion lymphatique fièvre chancre,stade saison ulcer musculair enfl peau lymphatiqu maux avanc fatigu pert maux paum compri poid chancr inexplique pie tete plant erupt sueur nocturn ganglion fievr indolor
chlamydia,"douleur ou brûlure pendant la miction,écoulement anormal du pénis ou du vagin,douleur abdominale basse,douleurs pendant les rapports sexuels,saignements entre les règles,douleurs testiculaires,inflammation cervicale","azithromycine,doxycycline","test de dépistage de la chlamydia,culture cellulaire",brûlure vagin entre sexuel miction ventre maux péni anormaux testiculaire règle écoule rapport cervicale saignement maux basse inflammation,miction entr inflamm ecoul peni maux vagin ventre bas testiculair rapport brulur regl cervical anorm saigne sexuel
gonorrhée,"écoulement épais et jaune du pénis ou du vagin,douleur ou brûlure pendant la miction,douleurs abdominales basses,douleurs pendant les rapports sexuels,saignements entre les règles,gorge irritée","céfixime,azithromycine","test de dépistage de la gonorrhée,culture cellulaire",épai vagin brûlure entre sexuel jaune miction ventre maux bas péni règle irritée écoule gorge rapport saignement maux,miction entr ecoul peni vagin maux ventre bas rapport brulur regl jaun gorg irrite epai saigne sexuel
herpès génital,"lésions génitales,démangeaisons,douleur en urinant,vésicules douloureuses sur les organes génitaux ou autour de l'anus,démangeaisons,sensation de brûlure pendant la miction,douleurs pendant les rapports sexuels,gonflement des ganglions lymphatiques","antiviraux,médicaments symptomatiques","test de l'herpès,examen clinique",génitale brûlure sexuel anu miction urinant maux organe sensation lésion génitaux rapport autour vésicule gonfle démangeaison maux douloureuse ganglion lymphatique,organ demangeaison urin anu lymphatiqu sexuel genitaux miction maux sensat rapport genital autour lesion douloureu gonfle brulur ganglion vesicul
condylomes génitaux (hpv),"verrues génitales,démangeaisons,saignements pendant les rapports sexuels","crèmes antivirales,ablation des verrues","test hpv,examen visuel",saignement démangeaison génitale rapport sexuel verrue,demangeaison verru rapport genital saigne sexuel
hépatite b,"fatigue,jaunisse,douleurs abdominales,perte d'appétit,nausées et vomissements,urine foncée,fièvre,selles décolorées,douleurs articulaires,irritation cutanée","antiviraux,vaccination (pour l'hépatite b)","test d'hépatite,échographie hépatique",e appétit nausée décolorée foncée maux ventre articulaire fièvre selle irritation cutanée urine vomissement perte fatigue jaunisse,jaunis appetit fatigu pert fonce ventre vomis maux decolore peau irrit urin nause fievr articulair sell
hépatite c,"fatigue,jaunisse,douleurs abdominales,perte d'appétit,nausées et vomissements,urine foncée,fièvre,selles décolorées,douleurs musculaires et articulaires,irritation cutanée","antiviraux,vaccination (pour l'hépatite b)","test d'hépatite,échographie hépatique",e appétit nausée décolorée foncée maux ventre articulaire fièvre selle musculaire irritation cutanée urine vomissement perte fatigue jaunisse,jaunis appetit fatigu pert fonce ventre vomis maux musculair decolore peau irrit urin nause fievr articulair sell
trichomonase,"démangeaisons,écoulement génital,douleur en urinant,écoulement vaginal vert ou jaune-vert,démangeaisons ou irritation vaginal,douleur pendant les rapports sexuels,douleur pendant la miction,gonflement des organes génitaux externes","métronidazole,tinidazole","test de dépistage de la trichomonase,examen microscopique",miction urinant gonfle démangeaison maux sexuel écoule vaginal rapport génital irritation organe génitaux vert externe jaune,miction genitaux gonfle extern ecoul maux vagin organ demangeaison rapport jaun irrit urin vert genit sexuel
molluscum contagiosum,"lésions cutanées,démangeaisons,petites bosses ou nodules sur la peau,aspect perlé ou lisse des lésions,inflammation des lésions","ablation des lésions,médicaments antiviraux","examen visuel,biopsie (dans certains cas)",nodule lésion bos démangeaison inflammation cutanée lisse petite peau aspect perlé,lesion bos inflamm nodul demangeaison peau petit aspect lis perl
mycoplasmose génitale,"douleur ou brûlure pendant la miction,écoulement génital anormal,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements entre les règles,inflammation cervicale,douleur abdominale basse,fièvre,fatigue","azithromycine,doxycycline","test de dépistage de la mycoplasmose,culture cellulaire",pelvienne brûlure entre sexuel miction ventre maux génital irritation génitale anormaux règle écoule rapport cervicale fatigue saignement basse fièvre inflammation,regl pelvienn cervical anorm entr sexuel miction fatigu ventre maux bas genit saigne ecoul rapport genital inflamm brulur irrit fievr
ureaplasmose,"douleur ou brûlure pendant la miction,écoulement anormal du vagin ou de l'urètre,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements inhabituels,douleur ou inflammation articulaire,fièvre,fatigue,sensibilité abdominale","azithromycine,doxycycline","test de dépistage de l'ureaplasmose,culture cellulaire",pelvienne brûlure vagin articulaire sensibilité sexuel urètre miction ventre maux irritation génitale anormaux inhabituel écoule rapport fatigue saignement fièvre inflammation,vagin pelvienn anorm sexuel miction fatigu inhabituel ventre maux saigne ecoul rapport genital articulair uretr inflamm sensibilit brulur irrit fievr
chancre mou (ulcère molle),"ulcération génitale indolore,ganglions lymphatiques enflés,fièvre,douleurs musculaires,maux de tête,fatigue,éruptions cutanées","azithromycine,céfixime","test de dépistage du chancre mou,examen microscopique",maux fatigue maux indolore cutanée tête ulcération musculaire enflé lymphatique ganglion génitale éruption fièvre,maux fatigu erupt ulcer musculair maux enfl tete fievr peau genital ganglion lymphatiqu indolor
granulome inguinal (donovanose),"ulcération génitale indolore,ganglions lymphatiques enflés,douleur pendant les rapports sexuels,saignements pendant les rapports sexuels,éruptions cutanées,nodules ou bosses génitales","doxycycline,azithromycine","test de dépistage de la donovanose,examen microscopique",nodule saignement bos génitale maux indolore sexuel cutanée rapport ulcération enflé lymphatique ganglion génitale éruption,bos erupt nodul ulcer maux enfl sexuel rapport peau genital ganglion lymphatiqu saigne indolor
lymphogranulomatose vénérienne (lgv),"petite lésion ou ulcération génitale,ganglions lymphatiques enflés dans l'aine,douleur pendant les rapports sexuels,saignements pendant les rapports sexuels,douleur abdominale basse,fièvre,fatigue","doxycycline,azithromycine","test de dépistage de la lgv,culture cellulaire",lésion saignement fatigue ventre maux sexuel basse petite rapport ulcération enflé ganglion lymphatique génitale fièvre aine,lesion fatigu ulcer ventre maux enfl bas rapport fievr genital ganglion petit lymphatiqu saigne ain sexuel
mycobacterium avium complex (mac),"fièvre,sueurs nocturnes,fatigue,perte de poids,diarrhée persistante,douleurs abdominales,infections opportunistes","antibiotiques,traitement symptomatique","test de dépistage du mac,imagerie médicale",poid persistante sueur maux ventre diarrhée infection nocturne opportuniste fièvre perte fatigue,persistant pert fatigu sueur diarrhe ventre maux poid nocturn opportunist fievr infect
infections à clamidies non génitales,"infections oculaires (conjonctivite),infections respiratoires,douleurs articulaires,frissons,fièvre,maillons","azithromycine,doxycycline","test de dépistage des infections à chlamydia,culture cellulaire",respiratoire oculaire conjonctivite frisson maux articulaire infection maillon fièvre,frisson maillon conjonctivit maux respiratoir fievr articulair oculair infect
